Country,Classification_2000,Classification_2022
Poland,Developing,NIC
Portugal,Advanced Industrial,Advanced Industrial
Qatar,Developing,Developing
Romania,Developing,Developing
Russia,Developing,Emerging Industrial
Rwanda,Developing,Developing
Samoa,Developing,Developing
Sao Tome and Principe,Developing,Developing
Saudi Arabia,Developing,Developing
Senegal,Developing,Developing
Serbia,Developing,Developing
Seychelles,Developing,Developing
Sierra Leone,Developing,Developing
Singapore,NIC,NIC
Slovak Republic,Developing,NIC
Slovenia,Developing,Advanced Industrial
Solomon Islands,Developing,Developing
Somalia,Developing,Developing
South Africa,Emerging Industrial,Emerging Industrial
South Korea,NIC,NIC
South Sudan,Developing,Developing
Spain,Advanced Industrial,Advanced Industrial
Sri Lanka,Developing,Developing
St. Kitts and Nevis,Developing,Developing
St. Lucia,Developing,Developing
St. Vincent and the Grenadines,Developing,Developing
Sudan,Developing,Developing
Suriname,Developing,Developing
Sweden,Advanced Industrial,Advanced Industrial
Switzerland,Advanced Industrial,Advanced Industrial
Syria,Developing,Developing
Taiwan,NIC,NIC
Tajikistan,Developing,Developing
Tanzania,Developing,Developing
Thailand,Emerging Industrial,Emerging Industrial
Timor-Leste,Developing,Developing
Togo,Developing,Developing
Tonga,Developing,Developing
Trinidad and Tobago,Developing,Developing
Tunisia,Developing,Developing
Turkey,Emerging Industrial,Emerging Industrial
Turkmenistan,Developing,Developing
Tuvalu,Developing,Developing
UAE,Developing,Developing
UK,Advanced Industrial,Advanced Industrial
USA,Advanced Industrial,Advanced Industrial
Uganda,Developing,Developing
Ukraine,Developing,Developing
Uruguay,Emerging Industrial,Emerging Industrial
Uzbekistan,Developing,Developing
Vanuatu,Developing,Developing
Venezuela,Developing,Developing
Vietnam,Developing,Emerging Industrial
Yemen,Developing,Developing
Zambia,Developing,Developing
Zimbabwe,Developing,Developing
